String,Count1,Count2,Encoded,Padded,Prob1,Prob2,NonZeroLength
GyGy(Gx)^2GxGx,955,45,"[2, 2, 1, 1, 1, 1]",[2 2 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.955,0.045,6
(GiGyGyGyGxGx),513,487,"[3, 2, 2, 2, 1, 1]",[3 2 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.513,0.487,6
GyGy(Gi)^4,0,1000,"[2, 2, 3, 3, 3, 3]",[2 2 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.0,1.0,6
GxGx(Gy)^2GxGx,0,1000,"[1, 1, 2, 2, 1, 1]",[1 1 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.0,1.0,6
GxGx(Gx)^2GxGx,788,212,"[1, 1, 1, 1, 1, 1]",[1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.788,0.212,6
GyGy(Gy)^2GxGx,429,571,"[2, 2, 2, 2, 1, 1]",[2 2 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.429,0.571,6
(Gi)^4GxGx,411,589,"[3, 3, 3, 3, 1, 1]",[3 3 3 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.411,0.589,6
GyGy(Gi)^2GxGx,593,407,"[2, 2, 3, 3, 1, 1]",[2 2 3 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.593,0.407,6
Gy(Gi)^4Gy,0,1000,"[2, 3, 3, 3, 3, 2]",[2 3 3 3 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.0,1.0,6
GxGx(Gi)^4,427,573,"[1, 1, 3, 3, 3, 3]",[1 1 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.427,0.573,6
GxGx(Gy)^4,388,612,"[1, 1, 2, 2, 2, 2]",[1 1 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.388,0.612,6
(GxGxGy)^2,607,393,"[1, 1, 2, 1, 1, 2]",[1 1 2 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.607,0.393,6
Gy(Gx)^4Gy,0,1000,"[2, 1, 1, 1, 1, 2]",[2 1 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.0,1.0,6
GyGy(GiGyGx)Gy,1000,0,"[2, 2, 3, 2, 1, 2]",[2 2 3 2 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1.0,0.0,6
(GiGxGx)^2,37,963,"[3, 1, 1, 3, 1, 1]",[3 1 1 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.037,0.963,6
Gy(Gy)^4Gy,0,1000,"[2, 2, 2, 2, 2, 2]",[2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.0,1.0,6
(GiGyGxGxGyGy),492,508,"[3, 2, 1, 1, 2, 2]",[3 2 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.492,0.508,6
