String,Count1,Count2,Encoded,Padded,Prob1,Prob2,NonZeroLength
Gy(GiGxGx)^5,481,519,"[2, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1]",[2 3 1 1 3 1 1 3 1 1 3 1 1 3 1 1 0 0 0 0],0.481,0.519,16
(Gx)^16,481,519,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0],0.481,0.519,16
(GxGxGy)^5Gy,917,83,"[1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2]",[1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 2 0 0 0 0],0.917,0.083,16
(Gy)^16,1000,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 0 0 0],1.0,0.0,16
(Gi)^16Gy,494,506,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2]",[3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 0 0 0],0.494,0.506,17
Gy(Gx)^16,491,509,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0],0.491,0.509,17
GyGy(GxGxGy)^5,271,729,"[2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2]",[2 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 0 0 0],0.271,0.729,17
Gy(Gi)^16,508,492,"[2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",[2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0 0 0],0.508,0.492,17
(GiGxGx)^5GxGx,326,674,"[3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1]",[3 1 1 3 1 1 3 1 1 3 1 1 3 1 1 1 1 0 0 0],0.326,0.674,17
(Gy)^16Gy,504,496,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 0 0],0.504,0.496,17
GxGx(GxGxGy)^5,894,106,"[1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2]",[1 1 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 0 0 0],0.894,0.106,17
Gy(GxGxGy)^5Gy,320,680,"[2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2]",[2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 2 0 0 0],0.32,0.68,17
GxGx(GiGyGx)^5,412,588,"[1, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1]",[1 1 3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 0 0 0],0.412,0.588,17
Gy(GiGyGx)^5Gy,1,999,"[2, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 2]",[2 3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 2 0 0 0],0.001,0.999,17
Gy(GiGxGx)^5Gy,0,1000,"[2, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 2]",[2 3 1 1 3 1 1 3 1 1 3 1 1 3 1 1 2 0 0 0],0.0,1.0,17
(GiGyGx)^5GxGx,421,579,"[3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 1, 1]",[3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 1 1 0 0 0],0.421,0.579,17
(Gx)^16Gy,508,492,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 0 0 0],0.508,0.492,17
GxGx(GiGxGx)^5,323,677,"[1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1]",[1 1 3 1 1 3 1 1 3 1 1 3 1 1 3 1 1 0 0 0],0.323,0.677,17
(GxGxGy)^5GxGx,606,394,"[1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1]",[1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 0 0 0],0.606,0.394,17
GyGy(GiGxGx)^5,922,78,"[2, 2, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1]",[2 2 3 1 1 3 1 1 3 1 1 3 1 1 3 1 1 0 0 0],0.922,0.078,17
GyGy(GiGyGx)^5,0,1000,"[2, 2, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1]",[2 2 3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 0 0 0],0.0,1.0,17
GyGy(Gx)^16,501,499,"[2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0],0.501,0.499,18
(Gy)^16GxGx,416,584,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1]",[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 0 0],0.416,0.584,18
GyGy(Gi)^16,0,1000,"[2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",[2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0 0],0.0,1.0,18
Gy(Gy)^16Gy,0,1000,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 0],0.0,1.0,18
(Gx)^16GxGx,7,993,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0],0.007,0.993,18
GxGx(Gy)^16,383,617,"[1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",[1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 0],0.383,0.617,18
GxGx(Gi)^16,399,601,"[1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",[1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0 0],0.399,0.601,18
Gy(Gi)^16Gy,0,1000,"[2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2]",[2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 0 0],0.0,1.0,18
Gy(GxGxGy)^5GxGx,919,81,"[2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1]",[2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 0 0],0.919,0.081,18
GxGx(GxGxGy)^5Gy,263,737,"[1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2]",[1 1 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 2 0 0],0.263,0.737,18
GyGy(GxGxGy)^5Gy,89,911,"[2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2]",[2 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 2 0 0],0.089,0.911,18
(Gi)^16GxGx,395,605,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1]",[3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 0 0],0.395,0.605,18
GyGy(GiGyGx)^5Gy,492,508,"[2, 2, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 2]",[2 2 3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 2 0 0],0.492,0.508,18
GxGx(GiGyGx)^5Gy,533,467,"[1, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 2]",[1 1 3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 2 0 0],0.533,0.467,18
Gy(GiGyGx)^5GxGx,509,491,"[2, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 1, 1]",[2 3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 1 1 0 0],0.509,0.491,18
Gy(GiGxGx)^5GxGx,491,509,"[2, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1]",[2 3 1 1 3 1 1 3 1 1 3 1 1 3 1 1 1 1 0 0],0.491,0.509,18
GyGy(GiGxGx)^5Gy,491,509,"[2, 2, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 2]",[2 2 3 1 1 3 1 1 3 1 1 3 1 1 3 1 1 2 0 0],0.491,0.509,18
GxGx(GiGxGx)^5Gy,505,495,"[1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 2]",[1 1 3 1 1 3 1 1 3 1 1 3 1 1 3 1 1 2 0 0],0.505,0.495,18
Gy(Gx)^16Gy,0,1000,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",[2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 0 0],0.0,1.0,18
Gy(Gi)^16GxGx,497,503,"[2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1]",[2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 0],0.497,0.503,19
GxGx(Gi)^16Gy,492,508,"[1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2]",[1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 0],0.492,0.508,19
GyGy(Gi)^16Gy,483,517,"[2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2]",[2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 0],0.483,0.517,19
GxGx(GiGxGx)^5GxGx,993,7,"[1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1]",[1 1 3 1 1 3 1 1 3 1 1 3 1 1 3 1 1 1 1 0],0.993,0.007,19
GxGx(Gx)^16Gy,489,511,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 0],0.489,0.511,19
GyGy(GiGxGx)^5GxGx,684,316,"[2, 2, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1]",[2 2 3 1 1 3 1 1 3 1 1 3 1 1 3 1 1 1 1 0],0.684,0.316,19
GxGx(GiGyGx)^5GxGx,36,964,"[1, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 1, 1]",[1 1 3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 1 1 0],0.036,0.964,19
GyGy(GiGyGx)^5GxGx,567,433,"[2, 2, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 1, 1]",[2 2 3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 1 1 0],0.567,0.433,19
GyGy(GxGxGy)^5GxGx,406,594,"[2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1]",[2 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 0],0.406,0.594,19
GxGx(GxGxGy)^5GxGx,227,773,"[1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1]",[1 1 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 0],0.227,0.773,19
Gy(Gx)^16GxGx,500,500,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0],0.5,0.5,19
GyGy(Gy)^16Gy,487,513,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0],0.487,0.513,19
Gy(Gy)^16GxGx,489,511,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1]",[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 0],0.489,0.511,19
GyGy(Gx)^16Gy,499,501,"[2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",[2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 0],0.499,0.501,19
GxGx(Gy)^16Gy,472,528,"[1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",[1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0],0.472,0.528,19
GxGx(Gi)^16GxGx,28,972,"[1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1]",[1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1],0.028,0.972,20
GyGy(Gy)^16GxGx,594,406,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1]",[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1],0.594,0.406,20
GyGy(Gx)^16GxGx,983,17,"[2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],0.983,0.017,20
GyGy(Gi)^16GxGx,585,415,"[2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1]",[2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1],0.585,0.415,20
GxGx(Gx)^16GxGx,713,287,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],0.713,0.287,20
GxGx(Gy)^16GxGx,43,957,"[1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1]",[1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1],0.043,0.957,20
