String,Count_1,Count_2,Encoded,Padded,Prob_1,Prob_2
GyGy(Gy)^16,0,1000,"2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2","2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0",0.0,1.0
GyGy(Gy)^16Gy,517,483,"2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2","2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0",0.517,0.483
GyGy(Gy)^16GxGx,498,502,"2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1","2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1",0.498,0.502
GxGx(Gy)^16,508,492,"1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2","1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0",0.508,0.492
GxGx(Gy)^16Gy,517,483,"1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2","1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0",0.517,0.483
GxGx(Gy)^16GxGx,0,1000,"1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1","1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1",0.0,1.0
Gy(Gy)^16GxGx,490,510,"2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1","2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 0",0.49,0.51
(GxGxGy)^5,493,507,"1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2","1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 0, 0, 0, 0, 0",0.493,0.507
(GxGxGy)^5Gy,1000,0,"1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2","1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 0, 0, 0, 0",1.0,0.0
(GxGxGy)^5GxGx,509,491,"1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1","1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 0, 0, 0",0.509,0.491
GyGy(GxGxGy)^5,490,510,"2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2","2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 0, 0, 0",0.49,0.51
GyGy(GxGxGy)^5Gy,0,1000,"2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2","2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 0, 0",0.0,1.0
GyGy(GxGxGy)^5GxGx,486,514,"2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1","2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 0",0.486,0.514
GxGx(GxGxGy)^5,1000,0,"1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2","1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 0, 0, 0",1.0,0.0
GxGx(GxGxGy)^5Gy,484,516,"1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2","1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 0, 0",0.484,0.516
GxGx(GxGxGy)^5GxGx,506,494,"1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1","1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 0",0.506,0.494
Gy(GxGxGy)^5,514,486,"2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2","2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 0, 0, 0, 0",0.514,0.486
Gy(GxGxGy)^5Gy,509,491,"2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2","2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 0, 0, 0",0.509,0.491
Gy(GxGxGy)^5GxGx,1000,0,"2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1","2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 0, 0",1.0,0.0
(GiGxGx)^5,500,500,"3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1","3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 0, 0, 0, 0, 0",0.5,0.5
(GiGxGx)^5Gy,489,511,"3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 2","3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 2, 0, 0, 0, 0",0.489,0.511
(GiGxGx)^5GxGx,0,1000,"3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1","3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 0, 0, 0",0.0,1.0
GyGy(GiGxGx)^5,524,476,"2, 2, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1","2, 2, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 0, 0, 0",0.524,0.476
GyGy(GiGxGx)^5Gy,505,495,"2, 2, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 2","2, 2, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 2, 0, 0",0.505,0.495
GyGy(GiGxGx)^5GxGx,1000,0,"2, 2, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1","2, 2, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 0",1.0,0.0
GxGx(GiGxGx)^5,0,1000,"1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1","1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 0, 0, 0",0.0,1.0
GxGx(GiGxGx)^5Gy,496,504,"1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 2","1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 2, 0, 0",0.496,0.504
GxGx(GiGxGx)^5GxGx,511,489,"1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1","1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 0",0.511,0.489
Gy(GiGxGx)^5,506,494,"2, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1","2, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 0, 0, 0, 0",0.506,0.494
Gy(GiGxGx)^5Gy,0,1000,"2, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 2","2, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 2, 0, 0, 0",0.0,1.0
Gy(GiGxGx)^5GxGx,497,503,"2, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1","2, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 0, 0",0.497,0.503
(GiGyGx)^5,266,734,"3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1","3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 0, 0, 0, 0, 0",0.266,0.734
(GiGyGx)^5Gy,86,914,"3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 2","3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 2, 0, 0, 0, 0",0.086,0.914
(GiGyGx)^5GxGx,603,397,"3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 1, 1","3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 1, 1, 0, 0, 0",0.603,0.397
GyGy(GiGyGx)^5,732,268,"2, 2, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1","2, 2, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 0, 0, 0",0.732,0.268
GyGy(GiGyGx)^5Gy,921,79,"2, 2, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 2","2, 2, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 2, 0, 0",0.921,0.079
GyGy(GiGyGx)^5GxGx,391,609,"2, 2, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 1, 1","2, 2, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 1, 1, 0",0.391,0.609
GxGx(GiGyGx)^5,99,901,"1, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1","1, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 0, 0, 0",0.099,0.901
GxGx(GiGyGx)^5Gy,603,397,"1, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 2","1, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 2, 0, 0",0.603,0.397
GxGx(GiGyGx)^5GxGx,217,783,"1, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 1, 1","1, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 1, 1, 0",0.217,0.783
Gy(GiGyGx)^5,290,710,"2, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1","2, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 0, 0, 0, 0",0.29,0.71
Gy(GiGyGx)^5Gy,726,274,"2, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 2","2, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 2, 0, 0, 0",0.726,0.274
Gy(GiGyGx)^5GxGx,902,98,"2, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 1, 1","2, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 1, 1, 0, 0",0.902,0.098
(GiGyGxGxGyGy)^2,520,480,"3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2","3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0",0.52,0.48
(GiGyGxGxGyGy)^2Gy,480,520,"3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2, 2","3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0",0.48,0.52
(GiGyGxGxGyGy)^2GxGx,0,1000,"3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2, 1, 1","3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0",0.0,1.0
GyGy(GiGyGxGxGyGy)^2,501,499,"2, 2, 3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2","2, 2, 3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0",0.501,0.499
GyGy(GiGyGxGxGyGy)^2Gy,514,486,"2, 2, 3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2, 2","2, 2, 3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2, 2, 0, 0, 0, 0, 0",0.514,0.486
GyGy(GiGyGxGxGyGy)^2GxGx,1000,0,"2, 2, 3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2, 1, 1","2, 2, 3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2, 1, 1, 0, 0, 0, 0",1.0,0.0
GxGx(GiGyGxGxGyGy)^2,514,486,"1, 1, 3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2","1, 1, 3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0",0.514,0.486
GxGx(GiGyGxGxGyGy)^2Gy,1000,0,"1, 1, 3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2, 2","1, 1, 3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2, 2, 0, 0, 0, 0, 0",1.0,0.0
GxGx(GiGyGxGxGyGy)^2GxGx,481,519,"1, 1, 3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2, 1, 1","1, 1, 3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2, 1, 1, 0, 0, 0, 0",0.481,0.519
Gy(GiGyGxGxGyGy)^2,0,1000,"2, 3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2","2, 3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
Gy(GiGyGxGxGyGy)^2Gy,491,509,"2, 3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2, 2","2, 3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0",0.491,0.509
Gy(GiGyGxGxGyGy)^2GxGx,504,496,"2, 3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2, 1, 1","2, 3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2, 1, 1, 0, 0, 0, 0, 0",0.504,0.496
(GiGyGyGyGxGx)^2,495,505,"3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1","3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0",0.495,0.505
(GiGyGyGyGxGx)^2Gy,515,485,"3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 2","3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0",0.515,0.485
(GiGyGyGyGxGx)^2GxGx,1000,0,"3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 1, 1","3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0",1.0,0.0
GyGy(GiGyGyGyGxGx)^2,491,509,"2, 2, 3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1","2, 2, 3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0",0.491,0.509
GyGy(GiGyGyGyGxGx)^2Gy,504,496,"2, 2, 3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 2","2, 2, 3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 2, 0, 0, 0, 0, 0",0.504,0.496
GyGy(GiGyGyGyGxGx)^2GxGx,0,1000,"2, 2, 3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 1, 1","2, 2, 3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 1, 1, 0, 0, 0, 0",0.0,1.0
GxGx(GiGyGyGyGxGx)^2,510,490,"1, 1, 3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1","1, 1, 3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0",0.51,0.49
GxGx(GiGyGyGyGxGx)^2Gy,0,1000,"1, 1, 3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 2","1, 1, 3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 2, 0, 0, 0, 0, 0",0.0,1.0
GxGx(GiGyGyGyGxGx)^2GxGx,519,481,"1, 1, 3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 1, 1","1, 1, 3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 1, 1, 0, 0, 0, 0",0.519,0.481
Gy(GiGyGyGyGxGx)^2,0,1000,"2, 3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1","2, 3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
Gy(GiGyGyGyGxGx)^2Gy,479,521,"2, 3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 2","2, 3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 2, 0, 0, 0, 0, 0, 0",0.479,0.521
Gy(GiGyGyGyGxGx)^2GxGx,511,489,"2, 3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 1, 1","2, 3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0",0.511,0.489
(GxGxGyGxGyGy)^2,742,258,"1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2","1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0",0.742,0.258
(GxGxGyGxGyGy)^2Gy,158,842,"1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 2","1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0",0.158,0.842
(GxGxGyGxGyGy)^2GxGx,232,768,"1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 1, 1","1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0",0.232,0.768
GyGy(GxGxGyGxGyGy)^2,263,737,"2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2","2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 0, 0, 0, 0, 0, 0",0.263,0.737
GyGy(GxGxGyGxGyGy)^2Gy,839,161,"2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 2","2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 2, 0, 0, 0, 0, 0",0.839,0.161
GyGy(GxGxGyGxGyGy)^2GxGx,756,244,"2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 1, 1","2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 0, 0, 0, 0",0.756,0.244
GxGx(GxGxGyGxGyGy)^2,846,154,"1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2","1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 0, 0, 0, 0, 0, 0",0.846,0.154
GxGx(GxGxGyGxGyGy)^2Gy,481,519,"1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 2","1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 2, 0, 0, 0, 0, 0",0.481,0.519
GxGx(GxGxGyGxGyGy)^2GxGx,858,142,"1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 1, 1","1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 0, 0, 0, 0",0.858,0.142
Gy(GxGxGyGxGyGy)^2,748,252,"2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2","2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0",0.748,0.252
Gy(GxGxGyGxGyGy)^2Gy,856,144,"2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 2","2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0",0.856,0.144
Gy(GxGxGyGxGyGy)^2GxGx,241,759,"2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 1, 1","2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 0, 0, 0, 0, 0",0.241,0.759
(GiGxGyGyGyGx)^2,248,752,"3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1","3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0",0.248,0.752
(GiGxGyGyGyGx)^2Gy,130,870,"3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 2","3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0",0.13,0.87
(GiGxGyGyGyGx)^2GxGx,735,265,"3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 1, 1","3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0",0.735,0.265
GyGy(GiGxGyGyGyGx)^2,774,226,"2, 2, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1","2, 2, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0",0.774,0.226
GyGy(GiGxGyGyGyGx)^2Gy,855,145,"2, 2, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 2","2, 2, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 2, 0, 0, 0, 0, 0",0.855,0.145
GyGy(GiGxGyGyGyGx)^2GxGx,247,753,"2, 2, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 1, 1","2, 2, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 1, 1, 0, 0, 0, 0",0.247,0.753
GxGx(GiGxGyGyGyGx)^2,747,253,"1, 1, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1","1, 1, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0",0.747,0.253
GxGx(GiGxGyGyGyGx)^2Gy,142,858,"1, 1, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 2","1, 1, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 2, 0, 0, 0, 0, 0",0.142,0.858
GxGx(GiGxGyGyGyGx)^2GxGx,274,726,"1, 1, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 1, 1","1, 1, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 1, 1, 0, 0, 0, 0",0.274,0.726
Gy(GiGxGyGyGyGx)^2,147,853,"2, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1","2, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0",0.147,0.853
Gy(GiGxGyGyGyGx)^2Gy,470,530,"2, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 2","2, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 2, 0, 0, 0, 0, 0, 0",0.47,0.53
Gy(GiGxGyGyGyGx)^2GxGx,146,854,"2, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 1, 1","2, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 1, 1, 0, 0, 0, 0, 0",0.146,0.854
